Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO23F,F_NO23F,NO2F,F_NO2F,TN,F_TN,UncCHLa_N,F_UncCHLa_N,TSS,F_TSS,NO3F,F_NO3F
lksponut,10/20/2015 9:38,1,2,,0.0462,,0.092,<-4> [SBL] (CSM),0.042,,0.057,<1> (CSM),0.018,<1> (CSM),0.837,<1> (CSM),13,,11.3,,0.039,
lksbanut,10/19/2015 10:00,2,1,,0.0234,,0.092,<-4> [SBL] (CSM),0.138,,0.472,,0.042,<1> (CSM),1.83,<1> (CSM),5,,12,,0.43,
lksbanut,10/19/2015 12:00,2,1,,0.023,,0.092,<-4> [SBL] (CSM),0.124,,0.457,,0.04,<1> (CSM),1.13,<1> (CSM),4.2,,17.3,,0.417,
lksbanut,10/19/2015  14:00:00 PM,2,1,,0.0232,,0.092,<-4> [SBL] (CSM),0.125,,0.456,,0.041,<1> (CSM),1.194,<1> (CSM),4.4,,5.3,,0.415,
lksbanut,10/19/2015  16:00:00 PM,2,1,,0.023,,0.092,<-4> [SBL] (CSM),0.121,,0.445,,0.042,<1> (CSM),1.179,<1> (CSM),4.8,,4,,0.403,
lksbanut,10/19/2015  18:00:00 PM,2,1,,0.0233,,0.092,<-4> [SBL] (CSM),0.115,,0.44,,0.04,<1> (CSM),1.269,<1> (CSM),4.4,,5.3,,0.4,
lksbanut,10/19/2015  20:00:00 PM,2,1,,0.024,,0.092,<-4> [SBL] (CSM),0.12,,0.446,,0.041,<1> (CSM),1.101,<1> (CSM),3.6,,4,,0.405,
lksbanut,10/19/2015  22:00:00 PM,2,1,,0.0237,,0.092,<-4> [SBL] (CSM),0.121,,0.443,,0.04,<1> (CSM),1.301,<1> (CSM),4.2,,4.7,,0.403,
lksbanut,10/20/2015,2,1,,0.0234,,0.092,<-4> [SBL] (CSM),0.12,,0.433,,0.039,<1> (CSM),1.094,<1> (CSM),3.4,,3.3,,0.394,
lksbanut,10/20/2015 2:00,2,1,,0.0234,,0.092,<-4> [SBL] (CSM),0.121,,0.438,,0.039,<1> (CSM),1.15,<1> (CSM),3.5,,5.3,,0.399,
lksbanut,10/20/2015 4:00,2,1,,0.0237,,0.092,<-4> [SBL] (CSM),0.125,,0.444,,0.039,<1> (CSM),1.096,<1> (CSM),4,,1,<-4> [SBL],0.405,
lksbanut,10/20/2015 6:00,2,1,,0.0231,,0.092,<-4> [SBL] (CSM),0.125,,0.445,,0.039,<1> (CSM),1.268,<1> (CSM),1.3,,4.7,,0.406,
lksbanut,10/20/2015 8:00,2,1,,0.0233,,0.092,<-4> [SBL] (CSM),0.125,,0.453,,0.038,<1> (CSM),1.116,<1> (CSM),3.6,,4.7,,0.415,
lksbanut,11/17/2015 10:58,1,1,,0.038,,0.092,<-4> [SBL] (CSM),0.115,,0.43,<1> (CSM),0.024,<1> (CSM),1,<1> (CSM),2.1,,3.3,,0.406,
lksbanut,11/17/2015 11:00,1,2,,0.0384,,0.092,<-4> [SBL] (CSM),0.112,,0.389,<1> (CSM),0.024,<1> (CSM),0.518,<1> (CSM),2,,4,,0.365,
lksblnut,11/17/2015 10:32,1,1,,0.025,,0.092,<-4> [SBL] (CSM),0.126,,0.125,<1> (CSM),0.016,<1> (CSM),0.537,<1> (CSM),2.2,,4.7,,0.109,
lksblnut,11/17/2015 10:34,1,2,,0.0255,,0.092,<-4> [SBL] (CSM),0.131,,0.126,<1> (CSM),0.018,<1> (CSM),0.658,<1> (CSM),2.2,,2,,0.108,
lksolnut,11/17/2015 8:56,1,1,,0.0213,,0.092,<-4> [SBL] (CSM),0.038,,0.11,<1> (CSM),0.016,<1> (CSM),0.444,<1> (CSM),3.2,,10,,0.094,
lksolnut,11/17/2015 8:58,1,2,,0.0216,,0.092,<-4> [SBL] (CSM),0.032,,0.111,<1> (CSM),0.014,<1> (CSM),0.298,<1> (CSM),2.9,,8,,0.097,
lksponut,11/17/2015 9:47,1,1,,0.0334,,0.092,<-4> [SBL] (CSM),0.039,,0.151,<1> (CSM),0.019,<1> (CSM),0.53,<1> (CSM),1.7,,52,,0.132,
lksponut,11/17/2015 9:49,1,2,,0.033,,0.092,<-4> [SBL] (CSM),0.036,,0.157,<1> (CSM),0.019,<1> (CSM),0.546,<1> (CSM),1.7,,52,,0.138,
lksbanut,11/16/2015 10:00,2,1,,0.0375,,0.092,<-4> [SBL] (CSM),0.13,,0.468,<1> (CSM),0.024,<1> (CSM),0.591,<1> (CSM),1.9,,3.3,,0.444,
lksbanut,11/16/2015 12:00,2,1,,0.0359,,0.092,<-4> [SBL] (CSM),0.116,,0.453,<1> (CSM),0.023,<1> (CSM),0.729,<1> (CSM),2,,3.3,,0.43,
lksbanut,11/16/2015  14:00:00 PM,2,1,,0.0367,,0.092,<-4> [SBL] (CSM),0.116,,0.462,<1> (CSM),0.023,<1> (CSM),0.641,<1> (CSM),2,,3.3,,0.439,
lksbanut,11/16/2015  16:00:00 PM,2,1,,0.0371,,0.092,<-4> [SBL] (CSM),0.11,,0.473,<1> (CSM),0.022,<1> (CSM),0.639,<1> (CSM),2,,3.3,,0.451,
lksbanut,11/16/2015  18:00:00 PM,2,1,,0.0372,,0.092,<-4> [SBL] (CSM),0.111,,0.467,<1> (CSM),0.023,<1> (CSM),0.743,<1> (CSM),2.4,,4,,0.444,
lksbanut,11/16/2015  20:00:00 PM,2,1,,0.038,,0.092,<-4> [SBL] (CSM),0.113,,0.485,<1> (CSM),0.026,<1> (CSM),0.556,<1> (CSM),2.4,,4,,0.459,
lksbanut,11/16/2015  22:00:00 PM,2,1,,0.0389,,0.092,<-4> [SBL] (CSM),0.113,,0.475,<1> (CSM),0.024,<1> (CSM),0.404,<1> (CSM),1.9,,2.7,,0.451,
lksbanut,11/17/2015,2,1,,0.0376,,0.092,<-4> [SBL] (CSM),0.113,,0.453,<1> (CSM),0.026,<1> (CSM),0.485,<1> (CSM),1.7,,2,,0.427,
lksbanut,11/17/2015 2:00,2,1,,0.0338,,0.092,<-4> [SBL] (CSM),0.104,,0.409,<1> (CSM),0.023,<1> (CSM),0.562,<1> (CSM),2.1,,4,,0.386,
lksbanut,11/17/2015 4:00,2,1,,0.0378,,0.092,<-4> [SBL] (CSM),0.111,,0.452,<1> (CSM),0.023,<1> (CSM),0.244,<1> (CSM),2.1,,4.7,,0.429,
lksbanut,11/17/2015 6:00,2,1,,0.0373,,0.092,<-4> [SBL] (CSM),0.112,,0.452,<1> (CSM),0.022,<1> (CSM),0.41,<1> (CSM),2.2,,3.3,,0.43,
lksbanut,11/17/2015 8:00,2,1,,0.0378,,0.092,<-4> [SBL] (CSM),0.112,,0.453,<1> (CSM),0.023,<1> (CSM),0.658,<1> (CSM),1.9,,3.3,,0.43,
