Collection Start Date/Time,DNR Parameter Description, Value,Units,Site,Round 
08/30/2023 12:50,"QUADRIGULA SP., COUNT",38,cells/mL,3,4
08/30/2023 12:50,"TETRAEDRON SP., COUNT",88,cells/mL,3,4
08/30/2023 13:18,"ANKISTRODESMUS SP., COUNT",120,cells/mL,1,4
08/30/2023 13:18,"CENTRALES DIATOMS, COUNT",155,cells/mL,1,4
08/30/2023 13:18,"CHLAMYDOMONAS SP., COUNT",1327,cells/mL,1,4
08/30/2023 13:18,"DINOBRYON SP., COUNT",12,cells/mL,1,4
08/30/2023 13:18,"KOMMA CAUDATA, COUNT",1888,cells/mL,1,4
08/30/2023 13:18,"QUADRIGULA SP., COUNT",60,cells/mL,1,4
08/30/2023 13:18,"SELENASTRUM SP., COUNT",24,cells/mL,1,4
08/30/2023 13:18,"TETRAEDRON SP., COUNT",24,cells/mL,1,4
09/05/2023 08:30,"APHANOCAPSA SP., COUNT",2366,cells/mL,9,5
09/05/2023 08:30,"APHANOTHECE SP., COUNT",557,cells/mL,9,5
09/05/2023 08:30,"ASTERIONELLA SP., COUNT",51,cells/mL,9,5
09/05/2023 08:30,"CENTRALES DIATOMS, COUNT",850,cells/mL,9,5
09/05/2023 08:30,"CHLAMYDOMONAS SP., COUNT",505,cells/mL,9,5
09/05/2023 08:30,"CRUCIGENIA SP., COUNT",117,cells/mL,9,5
09/05/2023 08:30,"CRYPTOMONAS SP., COUNT",7,cells/mL,9,5
09/05/2023 08:30,"DINOBRYON SP., COUNT",103,cells/mL,9,5
09/05/2023 08:30,"DYSMORPHOCOCCUS SP., COUNT",7,cells/mL,9,5
09/05/2023 08:30,"EUDORINA SP., COUNT",952,cells/mL,9,5
09/05/2023 08:30,"KOMMA CAUDATA, COUNT",476,cells/mL,9,5
09/05/2023 08:30,"OOCYSTIS SP., COUNT",139,cells/mL,9,5
09/05/2023 08:30,"PENNALES DIATOMS, COUNT",29,cells/mL,9,5
09/05/2023 08:30,"PERIDINIUM SP., COUNT",7,cells/mL,9,5
09/05/2023 08:30,"PSEUDANABAENA SP., COUNT",198,cells/mL,9,5
09/05/2023 08:30,"QUADRIGULA SP., COUNT",15,cells/mL,9,5
09/05/2023 08:30,"TETRAEDRON SP., COUNT",66,cells/mL,9,5
09/05/2023 08:30,"UROSOLENIA SP., COUNT",15,cells/mL,9,5
09/05/2023 08:50,"APHANOCAPSA SP., COUNT",1008,cells/mL,8.5,5
09/05/2023 08:50,"CRYPTOMONAS SP., COUNT",3,cells/mL,8.5,5
09/05/2023 08:50,"CYCLOTELLA SP., COUNT",7,cells/mL,8.5,5
09/05/2023 08:50,"DINOBRYON SP., COUNT",187,cells/mL,8.5,5
09/05/2023 08:50,"GOLENKINIA SP., COUNT",7,cells/mL,8.5,5
09/05/2023 08:50,"KOMMA CAUDATA, COUNT",75,cells/mL,8.5,5
09/05/2023 08:50,"MALLOMONAS SP., COUNT",7,cells/mL,8.5,5
09/05/2023 08:50,"Strombomonas sp., cells/mL",3,cells/mL,8.5,5
09/05/2023 08:50,"SYNEDRA SP., COUNT",3,cells/mL,8.5,5
09/05/2023 08:50,"UROSOLENIA SP., COUNT",17,cells/mL,8.5,5
09/05/2023 09:17,"APHANOCAPSA SP., COUNT",598,cells/mL,8,5
09/05/2023 09:17,"CENTRALES DIATOMS, COUNT",742,cells/mL,8,5
09/05/2023 09:17,"CHLAMYDOMONAS SP., COUNT",462,cells/mL,8,5
09/05/2023 09:17,"COSMARIUM SP., COUNT",15,cells/mL,8,5
09/05/2023 09:17,"CRUCIGENIA SP., COUNT",61,cells/mL,8,5
09/05/2023 09:17,"DICTYOSPHAERIUM SP., COUNT",121,cells/mL,8,5
09/05/2023 09:17,"DIMORPHOCOCCUS SP., COUNT",8,cells/mL,8,5
09/05/2023 09:17,"DINOBRYON SP., COUNT",68,cells/mL,8,5
09/05/2023 09:17,"KOMMA CAUDATA, COUNT",818,cells/mL,8,5
09/05/2023 09:17,"PENNALES DIATOMS, COUNT",129,cells/mL,8,5
09/05/2023 09:17,"PERIDINIUM SP., COUNT",23,cells/mL,8,5
09/05/2023 09:17,"PSEUDANABAENA SP., COUNT",129,cells/mL,8,5
09/05/2023 09:17,"QUADRIGULA SP., COUNT",23,cells/mL,8,5
09/05/2023 09:17,"TETRAEDRON SP., COUNT",30,cells/mL,8,5
09/05/2023 10:02,"APHANOCAPSA SP., COUNT",2281,cells/mL,6,5
09/05/2023 10:02,"CENTRALES DIATOMS, COUNT",370,cells/mL,6,5
09/05/2023 10:02,"CHLAMYDOMONAS SP., COUNT",360,cells/mL,6,5
09/05/2023 10:02,"COELASTRUM SP., COUNT",138,cells/mL,6,5
09/05/2023 10:02,"COSMARIUM SP., COUNT",5,cells/mL,6,5
09/05/2023 10:02,"CRUCIGENIA SP., COUNT",20,cells/mL,6,5
09/05/2023 10:02,"CRYPTOMONAS SP., COUNT",5,cells/mL,6,5
09/05/2023 10:02,"DINOBRYON SP., COUNT",59,cells/mL,6,5
09/05/2023 10:02,"GLOEOCYSTIS SP., COUNT",5,cells/mL,6,5
09/05/2023 10:02,"KOMMA CAUDATA, COUNT",474,cells/mL,6,5
09/05/2023 10:02,"OOCYSTIS SP., COUNT",64,cells/mL,6,5
09/05/2023 10:02,"PENNALES DIATOMS, COUNT",54,cells/mL,6,5
09/05/2023 10:02,"PERIDINIUM SP., COUNT",5,cells/mL,6,5
09/05/2023 10:02,"PSEUDANABAENA SP., COUNT",39,cells/mL,6,5
09/05/2023 10:02,"TETRAEDRON SP., COUNT",59,cells/mL,6,5
09/05/2023 10:02,"UROSOLENIA SP., COUNT",30,cells/mL,6,5
09/05/2023 10:48,"APHANOCAPSA SP., COUNT",850,cells/mL,3,5
09/05/2023 10:48,"ASTERIONELLA SP., COUNT",39,cells/mL,3,5
09/05/2023 10:48,"CENTRALES DIATOMS, COUNT",242,cells/mL,3,5
09/05/2023 10:48,"CHLAMYDOMONAS SP., COUNT",594,cells/mL,3,5
09/05/2023 10:48,"CRUCIGENIA SP., COUNT",19,cells/mL,3,5
09/05/2023 10:48,"DIMORPHOCOCCUS SP., COUNT",10,cells/mL,3,5
09/05/2023 10:48,"DINOBRYON SP., COUNT",29,cells/mL,3,5
09/05/2023 10:48,"GYMNODINIUM SP., COUNT",34,cells/mL,3,5
09/05/2023 10:48,"KOMMA CAUDATA, COUNT",425,cells/mL,3,5
09/05/2023 10:48,"PENNALES DIATOMS, COUNT",14,cells/mL,3,5
09/05/2023 10:48,"PSEUDANABAENA SP., COUNT",246,cells/mL,3,5
09/05/2023 10:48,"QUADRIGULA SP., COUNT",5,cells/mL,3,5
09/05/2023 10:48,"TETRAEDRON SP., COUNT",58,cells/mL,3,5
09/05/2023 10:48,"UROSOLENIA SP., COUNT",5,cells/mL,3,5
09/05/2023 11:25,"AULACOSEIRA SP., COUNT",77,cells/mL,1,5
09/05/2023 11:25,"CENTRALES DIATOMS, COUNT",299,cells/mL,1,5
09/05/2023 11:25,"CHLAMYDOMONAS SP., COUNT",423,cells/mL,1,5
09/05/2023 11:25,"CRYPTOMONAS SP., COUNT",5,cells/mL,1,5
09/05/2023 11:25,"DINOBRYON SP., COUNT",41,cells/mL,1,5
09/05/2023 11:25,"GLOEOCYSTIS SP., COUNT",41,cells/mL,1,5
09/05/2023 11:25,"KOMMA CAUDATA, COUNT",594,cells/mL,1,5
09/05/2023 11:25,"OOCYSTIS SP., COUNT",52,cells/mL,1,5
09/05/2023 11:25,"PENNALES DIATOMS, COUNT",41,cells/mL,1,5
09/05/2023 11:25,"PERIDINIUM SP., COUNT",5,cells/mL,1,5
09/05/2023 11:25,"PSEUDANABAENA SP., COUNT",119,cells/mL,1,5
09/05/2023 11:25,"QUADRIGULA SP., COUNT",21,cells/mL,1,5
09/05/2023 11:25,"TETRAEDRON SP., COUNT",72,cells/mL,1,5
09/05/2023 11:25,"UROSOLENIA SP., COUNT",26,cells/mL,1,5
09/21/2023 00:00,"APHANOCAPSA SP., COUNT",3964,cells/mL,11,6
09/21/2023 00:00,"APHANOCAPSA SP., COUNT",3682,cells/mL,3,6
09/21/2023 00:00,"APHANOCAPSA SP., COUNT",7324,cells/mL,8,6
09/21/2023 00:00,"APHANOCAPSA SP., COUNT",2462,cells/mL,9,6
09/21/2023 00:00,"APHANOCAPSA SP., COUNT",9747,cells/mL,14,6
09/21/2023 00:00,"APHANOTHECE SP., COUNT",458,cells/mL,14,6
09/21/2023 00:00,"CENTRALES DIATOMS, COUNT",103,cells/mL,11,6
09/21/2023 00:00,"CENTRALES DIATOMS, COUNT",97,cells/mL,3,6
09/21/2023 00:00,"CENTRALES DIATOMS, COUNT",435,cells/mL,8,6
09/21/2023 00:00,"CENTRALES DIATOMS, COUNT",152,cells/mL,9,6
09/21/2023 00:00,"CENTRALES DIATOMS, COUNT",315,cells/mL,14,6
09/21/2023 00:00,"CHLAMYDOMONAS SP., COUNT",206,cells/mL,11,6
09/21/2023 00:00,"CHLAMYDOMONAS SP., COUNT",633,cells/mL,3,6
09/21/2023 00:00,"CHLAMYDOMONAS SP., COUNT",1968,cells/mL,8,6
09/21/2023 00:00,"CHLAMYDOMONAS SP., COUNT",152,cells/mL,9,6
09/21/2023 00:00,"CHLAMYDOMONAS SP., COUNT",158,cells/mL,14,6
09/21/2023 00:00,"CHLORELLA SP., COUNT",90,cells/mL,9,6
09/21/2023 00:00,"CHROOCOCCUS SP., COUNT",198,cells/mL,14,6
09/21/2023 00:00,"CLOSTERIUM SP., COUNT",32,cells/mL,3,6
09/21/2023 00:00,"CLOSTERIUM SP., COUNT",44,cells/mL,14,6
09/21/2023 00:00,"COSMARIUM SP., COUNT",3,cells/mL,9,6
09/21/2023 00:00,"CRUCIGENIA SP., COUNT",72,cells/mL,9,6
09/21/2023 00:00,"CRUCIGENIA SP., COUNT",15,cells/mL,14,6
09/21/2023 00:00,"CRYPTOMONAS SP., COUNT",186,cells/mL,11,6
09/21/2023 00:00,"CRYPTOMONAS SP., COUNT",4,cells/mL,14,6
09/21/2023 00:00,"DINOBRYON SP., COUNT",21,cells/mL,11,6
09/21/2023 00:00,"DINOBRYON SP., COUNT",16,cells/mL,3,6
09/21/2023 00:00,"DINOBRYON SP., COUNT",21,cells/mL,9,6
09/21/2023 00:00,"DINOBRYON SP., COUNT",55,cells/mL,14,6
09/21/2023 00:00,"DYSMORPHOCOCCUS SP., COUNT",19,cells/mL,8,6
09/21/2023 00:00,"FRAGILARIA SP., COUNT",24,cells/mL,9,6
09/21/2023 00:00,"GLOEOCYSTIS SP., COUNT",151,cells/mL,8,6
09/21/2023 00:00,"KOMMA CAUDATA, COUNT",6483,cells/mL,11,6
09/21/2023 00:00,"KOMMA CAUDATA, COUNT",4169,cells/mL,3,6
09/21/2023 00:00,"KOMMA CAUDATA, COUNT",2952,cells/mL,8,6
09/21/2023 00:00,"KOMMA CAUDATA, COUNT",254,cells/mL,9,6
09/21/2023 00:00,"KOMMA CAUDATA, COUNT",81,cells/mL,14,6
09/21/2023 00:00,"MERISMOPEDIA SP., COUNT",44,cells/mL,14,6
09/21/2023 00:00,"NAVICULA SP., COUNT",16,cells/mL,3,6
09/21/2023 00:00,"NAVICULA SP., COUNT",3,cells/mL,9,6
09/21/2023 00:00,"NAVICULA SP., COUNT",4,cells/mL,14,6
09/21/2023 00:00,"NOSTOC SP., COUNT",1234,cells/mL,9,6
09/21/2023 00:00,"NOSTOC SP., COUNT",1842,cells/mL,14,6
09/21/2023 00:00,"OOCYSTIS SP., COUNT",57,cells/mL,9,6
09/21/2023 00:00,"OOCYSTIS SP., COUNT",26,cells/mL,14,6
09/21/2023 00:00,"PENNALES DIATOMS, COUNT",57,cells/mL,8,6
09/21/2023 00:00,"PENNALES DIATOMS, COUNT",15,cells/mL,9,6
09/21/2023 00:00,"PENNALES DIATOMS, COUNT",18,cells/mL,14,6
09/21/2023 00:00,"PERIDINIUM SP., COUNT",21,cells/mL,11,6
09/21/2023 00:00,"PERIDINIUM SP., COUNT",7,cells/mL,14,6
09/21/2023 00:00,"PSEUDANABAENA SP., COUNT",681,cells/mL,3,6
09/21/2023 00:00,"PSEUDANABAENA SP., COUNT",51,cells/mL,9,6
09/21/2023 00:00,"PSEUDANABAENA SP., COUNT",40,cells/mL,14,6
09/21/2023 00:00,"SELENASTRUM SP., COUNT",11,cells/mL,14,6
09/21/2023 00:00,"TETRAEDRON SP., COUNT",16,cells/mL,3,6
09/21/2023 00:00,"TETRAEDRON SP., COUNT",114,cells/mL,8,6
09/21/2023 00:00,"TETRAEDRON SP., COUNT",33,cells/mL,9,6
09/21/2023 00:00,"TETRAEDRON SP., COUNT",11,cells/mL,14,6
09/21/2023 00:00,"TREUBARIA SP., COUNT",4,cells/mL,14,6
09/21/2023 00:00,"UROSOLENIA SP., COUNT",19,cells/mL,8,6
09/21/2023 00:00,"UROSOLENIA SP., COUNT",4,cells/mL,14,6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
